"February 20, 2009",81.3,1235102400,1.075,28.39075
"February 15, 2009",84.4,1234670400,1.112,29.36792
"February 1, 2009",82.3,1233460800,1.149,30.34509
"January 16, 2009",76.8,1232078400,1.167,30.82047
"January 10, 2009",72.2,1231560000,1.111,29.34151
"January 1, 2009",67,1230782400,1.008,26.62128
"December 15, 2008",69.9,1229313600,1.037,27.38717
"December 6, 2008",73.1,1228536000,0.901,23.79541
"December 1, 2008",75.7,1228104000,1.111,29.34151
"November 22, 2008",78.8,1227326400,1.064,28.10024
"November 15, 2008",83.5,1226721600,1.239,32.72199
"November 1, 2008",90.8,1225508400,1.441,38.05681
"October 28, 2008",96.5,1225162800,1.456,38.45296
"October 15, 2008",102.8,1224039600,1.782,47.06262
"October 1, 2008",113.4,1222830000,2.485,65.62885
"September 25, 2008",120.2,1222311600,2.697,71.22777
"September 18, 2008",125.5,1221706800,2.482,65.54962
"September 15, 2008",136,1221447600,2.561,67.63601
"September 1, 2008",126.5,1220238000,3.01,79.4941
"August 15, 2008",126.5,1218769200,2.86,75.5326
"August 1, 2008",127.6,1217559600,3.084,81.44844
"July 25, 2008",127.6,1216954800,3.032,80.07512
"July 22, 2008",133.4,1216695600,3.147,83.11227
"July 15, 2008",139.1,1216090800,3.385,89.39785
"June 27, 2008",134.9,1214535600,3.501,92.46141
"June 15, 2008",138.4,1213498800,3.438,90.79758
"June 1, 2008",131.8,1212289200,3.409,90.03169
"May 15, 2008",129.7,1210820400,3.166,83.61406
"May 1, 2008",123.4,1209610800,2.878,76.00798
"April 25, 2008",123.4,1209092400,3.054,80.65614
"April 15, 2008",116.3,1208228400,2.881,76.08721
"April 1, 2008",110.6,1207018800,2.639,69.69599
"March 15, 2008",110.6,1205550000,2.689,71.01649
"March 1, 2008",110.6,1204344000,2.512,66.34192
"February 22, 2008",111.6,1203652800,2.534,66.92294
"February 15, 2008",104.3,1203048000,2.494,65.86654
"February 1, 2008",104.3,1201838400,2.283,60.29403
"January 15, 2008",106.7,1200369600,2.309,60.98069
"January 1, 2008",106.7,1199160000,2.476,65.39116
"December 15, 2007",106.1,1197691200,2.342,61.85222
"December 1, 2007",106.1,1196481600,2.259,59.66019
"November 15, 2007",106.1,1195099200,2.336,61.69376
